link,qu0,qd0,h0
6886068,1.4400404e-36,1.4400404e-36,0.0
6886078,1.0791267e-36,1.0791267e-36,0.0
6886092,8.540613e-37,8.540613e-37,0.0
6886098,4.2470886e-37,4.2470886e-37,0.0
6886114,7.873807e-37,7.873807e-37,0.0
6886118,1.40738445e-36,1.40738445e-36,0.0
6886126,1.02561e-36,1.02561e-36,0.0
6886148,6.889413e-37,6.889413e-37,0.0
6886158,6.34324e-37,6.34324e-37,0.0
6886168,4.7685653e-37,4.7685653e-37,0.0
6886246,1.18629695e-36,1.18629695e-36,0.0
6886264,1.46101665e-36,1.46101665e-36,0.0
6886268,1.2957342e-36,1.2957342e-36,0.0
6886288,1.2961806e-36,1.2961806e-36,0.0
6886290,1.4309417e-36,1.4309417e-36,0.0
6886308,7.4911434e-37,7.4911434e-37,0.0
6886312,1.2065218e-36,1.2065218e-36,0.0
6886368,4.8518083e-37,4.8518083e-37,0.0
6886390,1.43865865e-36,1.43865865e-36,0.0
6886396,9.815198e-37,9.815198e-37,0.0
6886398,1.3187273e-36,1.3187273e-36,0.0
6886402,1.1628251e-36,1.1628251e-36,0.0
6886404,1.1206372e-36,1.1206372e-36,0.0
6886444,5.583931e-37,5.583931e-37,0.0
6886510,1.2568117e-36,1.2568117e-36,0.0
6886540,3.7359252e-37,3.7359252e-37,0.0
6886568,1.2525247e-36,1.2525247e-36,0.0
6886578,4.228951e-37,4.228951e-37,0.0
6886596,6.0230427e-37,6.0230427e-37,0.0
6886608,9.122395e-37,9.122395e-37,0.0
6886616,1.1312034e-36,1.1312034e-36,0.0
6886630,1.4161899e-36,1.4161899e-36,0.0
6886642,1.2223981e-36,1.2223981e-36,9.313226e-10
6886646,1.3297333e-36,1.3297333e-36,0.0
6886730,9.977933e-37,9.977933e-37,0.0
6886760,1.1105283e-36,1.1105283e-36,0.0
6886768,1.0052395e-36,1.0052395e-36,0.0
6886772,5.4167596e-36,5.4167596e-36,0.0
6886784,5.0379913e-37,5.0379913e-37,0.0
6887048,1.0129419e-36,1.0129419e-36,0.0
6887070,1.155217e-36,1.155217e-36,0.0
6887076,1.3836711e-36,1.3836711e-36,0.0
6887124,4.1028297e-36,4.1028297e-36,0.0
6886082,2.0844107e-36,2.0844107e-36,0.0
6886120,1.0012355e-36,1.0012355e-36,0.0
6886132,3.689011e-36,3.689011e-36,0.0
